   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on May 12, 2025

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  11.0 and   3.04 angstrom
   cluster size= 188 atoms and spacings=  1.75  0.00  0.43  1.67 angs
   inner potential=  4.0 V  debye and sample temperature= 237, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-2 =   16.0   69.7 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    10  1200    1   10  120 1200  ncurve npoint nk ntheta nphi nangle
   1   120  15.82   30.0    1.0    0.0   ----------------------------
  203.5    2.5204e+00    3.1082e+00   -1.8912e-01   -7.8055e-02
  206.5    2.4425e+00    3.1082e+00   -2.1419e-01   -7.6351e-02
  209.5    2.4992e+00    3.1082e+00   -1.9594e-01   -8.7337e-02
  212.5    2.6305e+00    3.1082e+00   -1.5371e-01   -9.1148e-02
  215.5    2.7435e+00    3.1082e+00   -1.1733e-01   -8.1314e-02
  218.5    2.8542e+00    3.1082e+00   -8.1726e-02   -5.6700e-02
  221.5    3.0463e+00    3.1082e+00   -1.9945e-02   -2.3083e-02
  224.5    3.1626e+00    3.1082e+00    1.7500e-02    1.6600e-03
  227.5    3.2743e+00    3.1082e+00    5.3428e-02    1.8323e-02
  230.5    3.2286e+00    3.1082e+00    3.8713e-02    1.2506e-02
  233.5    3.0711e+00    3.1082e+00   -1.1960e-02   -4.5620e-03
  236.5    2.8424e+00    3.1082e+00   -8.5530e-02   -2.9965e-02
  239.5    2.5884e+00    3.1082e+00   -1.6724e-01   -4.4172e-02
  242.5    2.3780e+00    3.1082e+00   -2.3495e-01   -4.5849e-02
  245.5    2.3330e+00    3.1082e+00   -2.4943e-01   -3.4435e-02
  248.5    2.3535e+00    3.1082e+00   -2.4281e-01   -1.9596e-02
  251.5    2.5253e+00    3.1082e+00   -1.8754e-01   -6.7359e-03
  254.5    2.7843e+00    3.1082e+00   -1.0423e-01    7.2025e-03
  257.5    3.1628e+00    3.1082e+00    1.7541e-02    2.6838e-02
  260.5    3.5185e+00    3.1082e+00    1.3198e-01    6.2877e-02
  263.5    3.8233e+00    3.1082e+00    2.3005e-01    1.1053e-01
  266.5    4.0240e+00    3.1082e+00    2.9462e-01    1.4540e-01
  269.5    3.9794e+00    3.1082e+00    2.8029e-01    1.5625e-01
  272.5    3.9552e+00    3.1082e+00    2.7247e-01    1.4761e-01
  275.5    3.6713e+00    3.1082e+00    1.8116e-01    1.3318e-01
  278.5    3.3563e+00    3.1082e+00    7.9809e-02    7.6059e-02
  281.5    2.9658e+00    3.1082e+00   -4.5839e-02    3.5218e-02
  284.5    2.6070e+00    3.1082e+00   -1.6125e-01   -1.4038e-02
  287.5    2.4968e+00    3.1082e+00   -1.9670e-01   -1.7085e-02
  290.5    2.5063e+00    3.1082e+00   -1.9365e-01   -4.0265e-02
  293.5    2.5537e+00    3.1082e+00   -1.7840e-01   -6.5796e-02
  296.5    2.6666e+00    3.1082e+00   -1.4208e-01   -1.0371e-01
  299.5    2.7484e+00    3.1082e+00   -1.1576e-01   -1.1083e-01
  302.5    2.9184e+00    3.1082e+00   -6.1081e-02   -9.4990e-02
  305.5    3.1026e+00    3.1082e+00   -1.8196e-03   -5.4152e-02
  308.5    3.2203e+00    3.1082e+00    3.6058e-02    1.5154e-02
  311.5    3.2492e+00    3.1082e+00    4.5352e-02    2.1197e-02
  314.5    3.2860e+00    3.1082e+00    5.7196e-02    1.8032e-02
  317.5    3.1964e+00    3.1082e+00    2.8365e-02    1.1580e-02
  320.5    3.0549e+00    3.1082e+00   -1.7177e-02   -1.7601e-02
  323.5    2.8092e+00    3.1082e+00   -9.6212e-02   -4.3236e-02
  326.5    2.6253e+00    3.1082e+00   -1.5538e-01   -4.9113e-02
  329.5    2.4417e+00    3.1082e+00   -2.1445e-01   -4.4945e-02
  332.5    2.4013e+00    3.1082e+00   -2.2745e-01   -3.2472e-02
  335.5    2.3995e+00    3.1082e+00   -2.2804e-01   -4.2738e-02
  338.5    2.5125e+00    3.1082e+00   -1.9168e-01   -5.0956e-02
  341.5    2.7122e+00    3.1082e+00   -1.2741e-01   -5.7035e-02
  344.5    3.0262e+00    3.1082e+00   -2.6411e-02   -2.9778e-02
  347.5    3.4702e+00    3.1082e+00    1.1646e-01    2.7789e-02
  350.5    3.8204e+00    3.1082e+00    2.2912e-01    8.4118e-02
  353.5    3.9892e+00    3.1082e+00    2.8344e-01    1.0643e-01
  356.5    4.0187e+00    3.1082e+00    2.9290e-01    9.4871e-02
  359.5    4.0134e+00    3.1082e+00    2.9122e-01    8.1013e-02
   2   120  15.82   33.0    1.0    0.0   ----------------------------
    2.5    4.6037e+00    3.4490e+00    3.3481e-01    1.9795e-02
    5.5    4.6753e+00    3.4490e+00    3.5556e-01    6.8721e-02
    8.5    4.5530e+00    3.4490e+00    3.2009e-01    8.6441e-02
   11.5    4.2324e+00    3.4490e+00    2.2713e-01    6.9374e-02
   14.5    3.6570e+00    3.4490e+00    6.0305e-02    2.5392e-02
   17.5    3.2069e+00    3.4490e+00   -7.0186e-02   -2.9918e-03
   20.5    2.8597e+00    3.4490e+00   -1.7086e-01   -1.9975e-02
   23.5    2.7039e+00    3.4490e+00   -2.1604e-01   -3.7602e-02
   26.5    2.6704e+00    3.4490e+00   -2.2575e-01   -5.7280e-02
   29.5    2.6784e+00    3.4490e+00   -2.2343e-01   -7.9958e-02
   32.5    2.7626e+00    3.4490e+00   -1.9900e-01   -8.0483e-02
   35.5    2.8297e+00    3.4490e+00   -1.7956e-01   -6.5392e-02
   38.5    2.9833e+00    3.4490e+00   -1.3503e-01   -4.0800e-02
