   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(100)-2p
 calculated by Yosef on Jan 24, 2025

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  15.0,  10.0 and   3.90 angstrom
   cluster size= 370 atoms and spacings=  0.23  1.54  0.00  0.00 angs
   inner potential=  8.0 V  debye and sample temperature=  71, 300 K
   number of valence electrons=   8     bandgap energy=   0.00 eV
   density of bulk=   7.87 g/cm3     molecular weight= 207.33 amu
   effective weight for kind 1-4 =   55.8   87.6   47.9   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    14   434    1   14   31  434  ncurve npoint nk ntheta nphi nangle
   53.0    1.3140e-03    1.4549e-03   -9.6859e-02    1.1491e-02
   56.0    1.3668e-03    1.4549e-03   -6.0593e-02    7.1567e-03
   59.0    1.4393e-03    1.4549e-03   -1.0771e-02    2.6543e-04
   62.0    1.5251e-03    1.4549e-03    4.8227e-02   -8.5644e-03
   65.0    1.5766e-03    1.4549e-03    8.3609e-02   -1.3468e-02
   68.0    1.5293e-03    1.4549e-03    5.1106e-02   -1.4614e-02
   71.0    1.4479e-03    1.4549e-03   -4.8231e-03   -1.4863e-02
   74.0    1.3515e-03    1.4549e-03   -7.1073e-02   -7.4584e-03
   77.0    1.3494e-03    1.4549e-03   -7.2562e-02    1.4945e-03
   80.0    1.3986e-03    1.4549e-03   -3.8733e-02   -9.7710e-04
   83.0    1.4928e-03    1.4549e-03    2.6022e-02    2.4500e-04
   86.0    1.5970e-03    1.4549e-03    9.7664e-02    5.3324e-03
   89.0    1.6440e-03    1.4549e-03    1.2993e-01    1.9300e-02
   92.0    1.6350e-03    1.4549e-03    1.2376e-01    1.5403e-02
   95.0    1.5597e-03    1.4549e-03    7.2013e-02    8.8049e-03
   98.0    1.4671e-03    1.4549e-03    8.3730e-03   -1.1573e-03
  101.0    1.3668e-03    1.4549e-03   -6.0586e-02   -6.7856e-04
  104.0    1.3340e-03    1.4549e-03   -8.3103e-02   -2.1186e-03
  107.0    1.3672e-03    1.4549e-03   -6.0274e-02   -2.3207e-03
  110.0    1.4678e-03    1.4549e-03    8.8297e-03   -5.9719e-03
  113.0    1.5489e-03    1.4549e-03    6.4598e-02   -6.5078e-03
  116.0    1.5778e-03    1.4549e-03    8.4479e-02   -3.5371e-03
  119.0    1.5402e-03    1.4549e-03    5.8623e-02   -3.1239e-03
  122.0    1.5041e-03    1.4549e-03    3.3783e-02   -3.7643e-03
  125.0    1.4777e-03    1.4549e-03    1.5677e-02   -6.4629e-04
  128.0    1.4657e-03    1.4549e-03    7.4283e-03    5.0128e-03
  131.0    1.4454e-03    1.4549e-03   -6.5722e-03    4.1769e-03
   4    31  14.31   42.0    1.0    0.0   ----------------------------
   41.0    1.2967e-03    1.5147e-03   -1.4390e-01    1.0168e-02
   44.0    1.2134e-03    1.5147e-03   -1.9890e-01    8.0147e-03
   47.0    1.2388e-03    1.5147e-03   -1.8211e-01    2.2814e-03
   50.0    1.2973e-03    1.5147e-03   -1.4352e-01   -1.2264e-03
   53.0    1.3887e-03    1.5147e-03   -8.3190e-02   -1.0988e-02
   56.0    1.5062e-03    1.5147e-03   -5.5732e-03   -1.5191e-02
   59.0    1.6314e-03    1.5147e-03    7.7031e-02   -1.5519e-02
   62.0    1.6990e-03    1.5147e-03    1.2171e-01   -2.8253e-03
   65.0    1.7147e-03    1.5147e-03    1.3205e-01    3.1515e-03
   68.0    1.6164e-03    1.5147e-03    6.7156e-02    2.4601e-04
   71.0    1.4781e-03    1.5147e-03   -2.4179e-02   -3.2698e-03
   74.0    1.3629e-03    1.5147e-03   -1.0019e-01   -2.3327e-03
   77.0    1.3559e-03    1.5147e-03   -1.0481e-01    1.3429e-03
   80.0    1.4707e-03    1.5147e-03   -2.9039e-02    7.7585e-03
   83.0    1.6277e-03    1.5147e-03    7.4621e-02    1.2038e-02
   86.0    1.7543e-03    1.5147e-03    1.5819e-01    1.3179e-02
   89.0    1.8233e-03    1.5147e-03    2.0375e-01    1.5311e-02
   92.0    1.8111e-03    1.5147e-03    1.9568e-01    1.0737e-02
   95.0    1.7207e-03    1.5147e-03    1.3601e-01    7.2184e-03
   98.0    1.5563e-03    1.5147e-03    2.7506e-02   -4.4528e-03
  101.0    1.4195e-03    1.5147e-03   -6.2843e-02   -8.7694e-03
  104.0    1.3618e-03    1.5147e-03   -1.0091e-01   -1.0042e-02
  107.0    1.4141e-03    1.5147e-03   -6.6418e-02   -8.9936e-03
  110.0    1.5333e-03    1.5147e-03    1.2303e-02   -3.7287e-03
  113.0    1.6409e-03    1.5147e-03    8.3338e-02   -3.8640e-03
  116.0    1.6660e-03    1.5147e-03    9.9895e-02   -3.2039e-03
  119.0    1.6473e-03    1.5147e-03    8.7586e-02   -8.3227e-03
  122.0    1.5167e-03    1.5147e-03    1.3448e-03   -4.5142e-03
  125.0    1.4266e-03    1.5147e-03   -5.8179e-02   -1.8786e-03
  128.0    1.3695e-03    1.5147e-03   -9.5858e-02    6.2753e-03
  131.0    1.3957e-03    1.5147e-03   -7.8546e-02    1.1385e-02
   5    31  14.31   45.0    1.0    0.0   ----------------------------
   41.0    9.7280e-04    1.5179e-03   -3.5910e-01    9.6499e-03
   44.0    9.4966e-04    1.5179e-03   -3.7434e-01    9.4217e-03
   47.0    9.5303e-04    1.5179e-03   -3.7212e-01    1.5478e-03
   50.0    9.8667e-04    1.5179e-03   -3.4996e-01   -7.9220e-03
   53.0    1.1583e-03    1.5179e-03   -2.3686e-01   -1.4284e-02
   56.0    1.3982e-03    1.5179e-03   -7.8839e-02   -1.7104e-02
   59.0    1.7012e-03    1.5179e-03    1.2080e-01   -9.4452e-03
   62.0    1.8844e-03    1.5179e-03    2.4146e-01   -1.0301e-03
   65.0    1.8919e-03    1.5179e-03    2.4642e-01    7.3621e-03
   68.0    1.7425e-03    1.5179e-03    1.4797e-01    9.3578e-03
   71.0    1.5657e-03    1.5179e-03    3.1551e-02    9.3989e-03
   74.0    1.4232e-03    1.5179e-03   -6.2376e-02    1.3051e-03
   77.0    1.3745e-03    1.5179e-03   -9.4478e-02   -3.3701e-03
   80.0    1.4566e-03    1.5179e-03   -4.0352e-02   -4.1743e-03
   83.0    1.6368e-03    1.5179e-03    7.8391e-02    8.5349e-03
   86.0    1.7918e-03    1.5179e-03    1.8048e-01    1.1771e-02
   89.0    1.8781e-03    1.5179e-03    2.3736e-01    9.7356e-03
   92.0    1.8593e-03    1.5179e-03    2.2491e-01    5.4778e-03
   95.0    1.7436e-03    1.5179e-03    1.4870e-01   -6.3702e-03
   98.0    1.5682e-03    1.5179e-03    3.3186e-02   -8.0644e-03
  101.0    1.4170e-03    1.5179e-03   -6.6439e-02   -8.1769e-03
  104.0    1.3802e-03    1.5179e-03   -9.0712e-02    5.6158e-04
  107.0    1.4900e-03    1.5179e-03   -1.8335e-02   -7.6727e-04
  110.0    1.6500e-03    1.5179e-03    8.7067e-02   -2.8373e-04
  113.0    1.7870e-03    1.5179e-03    1.7731e-01   -1.1060e-03
  116.0    1.8570e-03    1.5179e-03    2.2346e-01   -5.6280e-03
  119.0    1.8144e-03    1.5179e-03    1.9536e-01   -5.4558e-03
  122.0    1.6296e-03    1.5179e-03    7.3645e-02   -4.1155e-03
  125.0    1.4867e-03    1.5179e-03   -2.0541e-02    5.8680e-03
  128.0    1.3485e-03    1.5179e-03   -1.1158e-01    4.9522e-03
  131.0    1.2567e-03    1.5179e-03   -1.7205e-01    2.3497e-03
   6    31  14.31   48.0    1.0    0.0   ----------------------------
   41.0    8.5835e-04    1.4622e-03   -4.1298e-01    4.4107e-03
   44.0    9.2308e-04    1.4622e-03   -3.6871e-01    4.5571e-04
   47.0    9.2513e-04    1.4622e-03   -3.6732e-01   -6.2794e-04
   50.0    8.6637e-04    1.4622e-03   -4.0750e-01    1.7697e-04
   53.0    8.9568e-04    1.4622e-03   -3.8746e-01   -3.4099e-04
   56.0    1.0819e-03    1.4622e-03   -2.6011e-01   -1.5199e-03
   59.0    1.4161e-03    1.4622e-03   -3.1533e-02   -1.6011e-03
   62.0    1.7512e-03    1.4622e-03    1.9760e-01   -7.3124e-04
   65.0    1.8761e-03    1.4622e-03    2.8304e-01   -1.4101e-03
   68.0    1.8431e-03    1.4622e-03    2.6047e-01   -2.4945e-03
   71.0    1.6520e-03    1.4622e-03    1.2979e-01   -7.3407e-03
   74.0    1.4203e-03    1.4622e-03   -2.8680e-02   -3.6318e-03
   77.0    1.3211e-03    1.4622e-03   -9.6539e-02   -3.7120e-03
   80.0    1.3823e-03    1.4622e-03   -5.4642e-02   -2.3172e-03
   83.0    1.5759e-03    1.4622e-03    7.7736e-02    3.2948e-04
   86.0    1.7416e-03    1.4622e-03    1.9109e-01    8.1627e-03
   89.0    1.8713e-03    1.4622e-03    2.7973e-01    1.6428e-02
   92.0    1.8326e-03    1.4622e-03    2.5329e-01    9.5016e-03
   95.0    1.7033e-03    1.4622e-03    1.6486e-01    1.4639e-03
   98.0    1.4808e-03    1.4622e-03    1.2689e-02   -5.1703e-04
  101.0    1.3454e-03    1.4622e-03   -7.9915e-02    3.9899e-03
  104.0    1.3498e-03    1.4622e-03   -7.6916e-02    1.2036e-03
  107.0    1.4838e-03    1.4622e-03    1.4748e-02   -1.0791e-03
  110.0    1.7011e-03    1.4622e-03    1.6333e-01   -7.3283e-03
  113.0    1.8733e-03    1.4622e-03    2.8110e-01   -6.0139e-03
  116.0    1.9231e-03    1.4622e-03    3.1522e-01   -7.2824e-03
  119.0    1.8610e-03    1.4622e-03    2.7268e-01   -6.4811e-03
  122.0    1.6539e-03    1.4622e-03    1.3108e-01   -7.1728e-03
