   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Jan  7, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  11.3 and   3.04 angstrom
   cluster size= 122 atoms and spacings=  1.43  1.82  1.70  1.55 angs
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-3 =   55.8   69.7   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
  203.5    2.4947e+00    2.5806e+00   -3.3285e-02    3.4551e-02
  206.5    2.5107e+00    2.5806e+00   -2.7070e-02    4.0686e-02
  209.5    2.5798e+00    2.5806e+00   -3.1042e-04    1.2766e-02
  212.5    2.6366e+00    2.5806e+00    2.1719e-02    4.3460e-02
  215.5    2.7237e+00    2.5806e+00    5.5478e-02    4.5645e-02
  218.5    2.7955e+00    2.5806e+00    8.3279e-02    8.6609e-02
  221.5    2.8336e+00    2.5806e+00    9.8066e-02    3.8164e-03
  224.5    2.8657e+00    2.5806e+00    1.1048e-01    8.9904e-02
  227.5    2.8956e+00    2.5806e+00    1.2208e-01    2.5472e-02
  230.5    2.8821e+00    2.5806e+00    1.1683e-01    2.6057e-02
  233.5    2.8513e+00    2.5806e+00    1.0493e-01    2.6541e-02
  236.5    2.7846e+00    2.5806e+00    7.9068e-02   -3.8696e-02
  239.5    2.7233e+00    2.5806e+00    5.5315e-02    3.4664e-02
  242.5    2.6603e+00    2.5806e+00    3.0877e-02   -2.2985e-02
  245.5    2.5952e+00    2.5806e+00    5.6744e-03   -2.1568e-02
  248.5    2.5164e+00    2.5806e+00   -2.4878e-02    1.1815e-02
  251.5    2.4451e+00    2.5806e+00   -5.2510e-02    1.7354e-02
  254.5    2.3865e+00    2.5806e+00   -7.5186e-02   -6.3473e-02
  257.5    2.3438e+00    2.5806e+00   -9.1762e-02    3.4109e-02
  260.5    2.3200e+00    2.5806e+00   -1.0099e-01   -1.4482e-02
  263.5    2.3024e+00    2.5806e+00   -1.0781e-01   -7.2249e-02
  266.5    2.2947e+00    2.5806e+00   -1.1080e-01   -6.2121e-02
  269.5    2.3046e+00    2.5806e+00   -1.0694e-01   -7.2666e-02
  272.5    2.3171e+00    2.5806e+00   -1.0210e-01   -2.6072e-02
  275.5    2.3395e+00    2.5806e+00   -9.3414e-02   -6.9412e-02
  278.5    2.3737e+00    2.5806e+00   -8.0151e-02   -5.8236e-03
  281.5    2.4213e+00    2.5806e+00   -6.1731e-02   -5.1093e-02
  284.5    2.4632e+00    2.5806e+00   -4.5488e-02    5.2910e-03
  287.5    2.5164e+00    2.5806e+00   -2.4859e-02   -2.1060e-02
  290.5    2.5393e+00    2.5806e+00   -1.5976e-02   -2.9163e-03
  293.5    2.5737e+00    2.5806e+00   -2.6758e-03    3.4551e-02
  296.5    2.5850e+00    2.5806e+00    1.7041e-03    4.0686e-02
  299.5    2.6040e+00    2.5806e+00    9.0662e-03    1.2766e-02
  302.5    2.5958e+00    2.5806e+00    5.9153e-03    4.3460e-02
  305.5    2.6104e+00    2.5806e+00    1.1577e-02    4.5645e-02
  308.5    2.6257e+00    2.5806e+00    1.7490e-02    8.6609e-02
  311.5    2.6472e+00    2.5806e+00    2.5810e-02    3.8164e-03
  314.5    2.6441e+00    2.5806e+00    2.4611e-02    8.9904e-02
  317.5    2.6268e+00    2.5806e+00    1.7914e-02    2.5472e-02
  320.5    2.6022e+00    2.5806e+00    8.3964e-03    2.6057e-02
  323.5    2.5781e+00    2.5806e+00   -9.7156e-04    2.6541e-02
  326.5    2.5560e+00    2.5806e+00   -9.5109e-03   -3.8696e-02
  329.5    2.5290e+00    2.5806e+00   -2.0002e-02    3.4664e-02
  332.5    2.5325e+00    2.5806e+00   -1.8627e-02   -2.2985e-02
  335.5    2.5401e+00    2.5806e+00   -1.5696e-02   -2.1568e-02
  338.5    2.5815e+00    2.5806e+00    3.6740e-04    1.1815e-02
  341.5    2.5893e+00    2.5806e+00    3.3841e-03    1.7354e-02
  344.5    2.6443e+00    2.5806e+00    2.4710e-02   -6.3473e-02
  347.5    2.6463e+00    2.5806e+00    2.5462e-02    3.4109e-02
  350.5    2.6946e+00    2.5806e+00    4.4171e-02   -1.4482e-02
  353.5    2.7006e+00    2.5806e+00    4.6526e-02   -7.2249e-02
  356.5    2.7204e+00    2.5806e+00    5.4178e-02   -6.2121e-02
  359.5    2.7195e+00    2.5806e+00    5.3818e-02   -7.2666e-02
   2   120  14.31   15.0    1.0    0.0   ----------------------------
    2.5    2.9329e+00    2.9304e+00    8.4853e-04   -3.7186e-02
    5.5    2.8867e+00    2.9304e+00   -1.4930e-02   -5.7746e-02
    8.5    2.8518e+00    2.9304e+00   -2.6824e-02   -5.2607e-02
   11.5    2.8010e+00    2.9304e+00   -4.4167e-02   -2.1261e-02
   14.5    2.7382e+00    2.9304e+00   -6.5587e-02   -2.7727e-02
   17.5    2.6855e+00    2.9304e+00   -8.3574e-02   -1.1043e-01
   20.5    2.7141e+00    2.9304e+00   -7.3828e-02   -1.8209e-02
   23.5    2.7287e+00    2.9304e+00   -6.8828e-02   -7.4680e-02
   26.5    2.7665e+00    2.9304e+00   -5.5947e-02   -1.4535e-02
   29.5    2.8217e+00    2.9304e+00   -3.7103e-02    2.7684e-02
   32.5    2.9626e+00    2.9304e+00    1.0994e-02    3.4802e-02
   35.5    3.0653e+00    2.9304e+00    4.6040e-02    1.8772e-01
   38.5    3.1824e+00    2.9304e+00    8.5990e-02    6.0492e-02
   41.5    3.2340e+00    2.9304e+00    1.0359e-01    4.4589e-02
   44.5    3.2515e+00    2.9304e+00    1.0957e-01    1.1565e-01
   47.5    3.2192e+00    2.9304e+00    9.8550e-02    9.4334e-02
   50.5    3.1374e+00    2.9304e+00    7.0630e-02    4.0112e-02
   53.5    3.0365e+00    2.9304e+00    3.6181e-02    1.1149e-01
   56.5    2.9464e+00    2.9304e+00    5.4619e-03    6.3044e-02
   59.5    2.8750e+00    2.9304e+00   -1.8906e-02    5.9340e-03
   62.5    2.8136e+00    2.9304e+00   -3.9861e-02   -3.2990e-02
   65.5    2.7559e+00    2.9304e+00   -5.9547e-02   -9.5569e-02
   68.5    2.7539e+00    2.9304e+00   -6.0242e-02   -1.0491e-01
   71.5    2.7131e+00    2.9304e+00   -7.4167e-02   -2.9579e-02
   74.5    2.6869e+00    2.9304e+00   -8.3093e-02    1.9377e-02
   77.5    2.6459e+00    2.9304e+00   -9.7112e-02   -5.5103e-02
   80.5    2.6321e+00    2.9304e+00   -1.0181e-01   -8.1431e-03
   83.5    2.5771e+00    2.9304e+00   -1.2056e-01   -2.8594e-02
   86.5    2.5673e+00    2.9304e+00   -1.2390e-01   -2.5071e-02
   89.5    2.5422e+00    2.9304e+00   -1.3247e-01   -1.0198e-02
   92.5    2.4823e+00    2.9304e+00   -1.5292e-01   -3.7186e-02
   95.5    2.4447e+00    2.9304e+00   -1.6575e-01   -5.7746e-02
   98.5    2.4419e+00    2.9304e+00   -1.6672e-01   -5.2607e-02
  101.5    2.4618e+00    2.9304e+00   -1.5992e-01   -2.1261e-02
