   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(100)-2p
 calculated by Yosef on Aug 26, 2024

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  10.0,  15.0 and   3.90 angstrom
   cluster size= 351 atoms and spacings=  0.62  1.25  0.55  1.29 angs
   inner potential=  8.0 V  debye and sample temperature=  71, 300 K
   number of valence electrons=   8     bandgap energy=   0.00 eV
   density of bulk=   7.87 g/cm3     molecular weight= 207.33 amu
   effective weight for kind 1-4 =   55.8   87.6   47.9   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    14   434    1   14   31  434  ncurve npoint nk ntheta nphi nangle
   53.0    1.1887e-02    1.0091e-02    1.7798e-01    1.1491e-02
   56.0    1.1096e-02    1.0091e-02    9.9551e-02    7.1567e-03
   59.0    1.0169e-02    1.0091e-02    7.7264e-03    2.6543e-04
   62.0    9.3773e-03    1.0091e-02   -7.0746e-02   -8.5644e-03
   65.0    8.9156e-03    1.0091e-02   -1.1651e-01   -1.3468e-02
   68.0    8.3389e-03    1.0091e-02   -1.7365e-01   -1.4614e-02
   71.0    7.7428e-03    1.0091e-02   -2.3272e-01   -1.4863e-02
   74.0    7.4364e-03    1.0091e-02   -2.6309e-01   -7.4584e-03
   77.0    7.8141e-03    1.0091e-02   -2.2566e-01    1.4945e-03
   80.0    8.8166e-03    1.0091e-02   -1.2632e-01   -9.7710e-04
   83.0    1.0336e-02    1.0091e-02    2.4273e-02    2.4500e-04
   86.0    1.2361e-02    1.0091e-02    2.2495e-01    5.3324e-03
   89.0    1.3414e-02    1.0091e-02    3.2929e-01    1.9300e-02
   92.0    1.3162e-02    1.0091e-02    3.0427e-01    1.5403e-02
   95.0    1.1676e-02    1.0091e-02    1.5705e-01    8.8049e-03
   98.0    9.7337e-03    1.0091e-02   -3.5432e-02   -1.1573e-03
  101.0    8.3832e-03    1.0091e-02   -1.6926e-01   -6.7856e-04
  104.0    7.6208e-03    1.0091e-02   -2.4481e-01   -2.1186e-03
  107.0    7.4499e-03    1.0091e-02   -2.6174e-01   -2.3207e-03
  110.0    7.9144e-03    1.0091e-02   -2.1572e-01   -5.9719e-03
  113.0    8.5060e-03    1.0091e-02   -1.5709e-01   -6.5078e-03
  116.0    9.0517e-03    1.0091e-02   -1.0302e-01   -3.5371e-03
  119.0    9.6046e-03    1.0091e-02   -4.8225e-02   -3.1239e-03
  122.0    1.0314e-02    1.0091e-02    2.2049e-02   -3.7643e-03
  125.0    1.1443e-02    1.0091e-02    1.3393e-01   -6.4629e-04
  128.0    1.2023e-02    1.0091e-02    1.9142e-01    5.0128e-03
  131.0    1.1829e-02    1.0091e-02    1.7224e-01    4.1769e-03
   4    31  14.31   42.0    1.0    0.0   ----------------------------
   41.0    1.0781e-02    9.5198e-03    1.3248e-01    1.0168e-02
   44.0    1.0707e-02    9.5198e-03    1.2467e-01    8.0147e-03
   47.0    1.0764e-02    9.5198e-03    1.3071e-01    2.2814e-03
   50.0    1.1115e-02    9.5198e-03    1.6760e-01   -1.2264e-03
   53.0    1.0834e-02    9.5198e-03    1.3806e-01   -1.0988e-02
   56.0    1.0074e-02    9.5198e-03    5.8190e-02   -1.5191e-02
   59.0    9.3550e-03    9.5198e-03   -1.7312e-02   -1.5519e-02
   62.0    9.2471e-03    9.5198e-03   -2.8646e-02   -2.8253e-03
   65.0    9.2330e-03    9.5198e-03   -3.0128e-02    3.1515e-03
   68.0    8.9550e-03    9.5198e-03   -5.9329e-02    2.4601e-04
   71.0    8.1168e-03    9.5198e-03   -1.4739e-01   -3.2698e-03
   74.0    7.3471e-03    9.5198e-03   -2.2823e-01   -2.3327e-03
   77.0    7.2302e-03    9.5198e-03   -2.4051e-01    1.3429e-03
   80.0    7.9802e-03    9.5198e-03   -1.6173e-01    7.7585e-03
   83.0    9.2783e-03    9.5198e-03   -2.5375e-02    1.2038e-02
   86.0    1.0947e-02    9.5198e-03    1.4994e-01    1.3179e-02
   89.0    1.2208e-02    9.5198e-03    2.8233e-01    1.5311e-02
   92.0    1.1863e-02    9.5198e-03    2.4616e-01    1.0737e-02
   95.0    1.0391e-02    9.5198e-03    9.1557e-02    7.2184e-03
   98.0    8.7881e-03    9.5198e-03   -7.6862e-02   -4.4528e-03
  101.0    7.5714e-03    9.5198e-03   -2.0467e-01   -8.7694e-03
  104.0    7.1223e-03    9.5198e-03   -2.5185e-01   -1.0042e-02
  107.0    7.5158e-03    9.5198e-03   -2.1051e-01   -8.9936e-03
  110.0    8.4425e-03    9.5198e-03   -1.1317e-01   -3.7287e-03
  113.0    9.0868e-03    9.5198e-03   -4.5494e-02   -3.8640e-03
  116.0    9.3009e-03    9.5198e-03   -2.3001e-02   -3.2039e-03
